Accounting UCrt,['ethical']
Actuarial Science CAP,[]
Advanced GIS CAP,[]
African Cultural Studies BA,['wisdom']
African Cultural Studies MA,['wisdom']
African Cultural Studies PHD,"['ethical', 'wisdom']"
African Studies GCrt,['diversity']
African Studies UCrt,['diversity']
Afro-American Studies BA,[]
Afro-American Studies MA,[]
Afro-American Studies UCrt,[]
Agricultural & Appl Econ BS,[]
Agricultural & Appl Econ MS,"['environment', 'environment', 'ethical']"
Agricultural & Appl Econ PHD,"['environment', 'environment', 'ethical']"
Agricultural Business Mgmt BS,[]
Agroecology MS,"['environment', 'ethical', 'inclusive', 'participatory']"
Agronomy BS,"['environment', 'environment']"
Agronomy MS,['ethical']
Agronomy PHD,['ethical']
American Indian Studies UCrt,[]
Animal Sciences BS,[]
Animal Sciences MS,['ethical']
Animal Sciences PHD,['ethical']
Anthropology BA,"['diversity', 'diversity']"
Anthropology MA,"['diversity', 'ethical', 'harassment', 'inclusive']"
Anthropology MS,"['diversity', 'ethical', 'harassment', 'inclusive']"
Anthropology PHD,"['diversity', 'ethical', 'harassment', 'inclusive']"
"Appl Math, Engr & Physics BS",[]
Applied Bioinformatics CAP,[]
Applied Bioinformatics GCrt,[]
Applied Biotechnology MS,['ethical']
Applied Drug Development CAP,[]
Archaeology UCrt,"['cultural diversity', 'diversity', 'ethical', 'preservation']"
Art BFA,[]
Art BS,[]
Art Education BSE,['literacy']
Art Education MA,[]
Art History BA,[]
Art History MA,[]
Art History PHD,['ethical']
Art History UCrt,[]
Art MA,[]
Art MFA,[]
Art Studio UCrt,[]
Arts and Teaching UCrt,"['environment', 'environment', 'environment']"
Asian American Studies UCrt,['indigenous peoples']
Asian Languages & Cultures BA,"['environment', 'human rights']"
Asian Languages & Cultures MA,['ethical']
Asian Languages & Cultures PHD,['ethical']
Astronomy - Physics BA,"['equality', 'ethical']"
Astronomy MS,['ethical']
Astronomy PHD,['ethical']
Athletic Healthcare UCrt,[]
Athletic Training BS,[]
Athletic Training MS,"['environment', 'ethical']"
Atmospheric & Oceanic Sci BA,[]
Atmospheric & Oceanic Sci MS,['ethical']
Atmospheric & Oceanic Sci PHD,['ethical']
Audiology CP Stevens Point AUD,['ethical']
BUS: Supply Chain Mgmt BBA,[]
BUS:ArtsCreatveEntrpLdrshp MAB,['ethical']
Bacteriology MS,[]
Biochemistry BA,"['ethical', 'responsibility']"
Biochemistry BS-ALS,"['ethical', 'responsibility']"
Biochemistry MS,['ethical']
Biochemistry PHD,['ethical']
Biocore Curriculum Honors UCrt,['biosphere']
Biological Systems Engin BS,"['environment', 'environment', 'ethical', 'ethical', 'responsibility', 'sustainability']"
Biological Systems Engin MS,['ethical']
Biological Systems Engr PHD,['ethical']
Biology BA,[]
Biology BS-ALS,[]
Biology in Engineering UCrt,['environment']
Biomedical Data Science MS,[]
Biomedical Data Science PHD,['ethical']
Biomedical Engineering BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Biomedical Engineering MS,['ethical']
Biomedical Engineering PHD,['ethical']
Biometry MS,['ethical']
Biophysics MS,['ethical']
Biophysics PHD,['ethical']
Biotechnology MS,"['ethical', 'ethical']"
Botany BA,['ecosystem']
Botany MS,"['ecosystem', 'ethical']"
Botany PHD,['ecosystem']
Bus Analytics GCrt,[]
Bus Environment & Soc Res GCrt,"['environment', 'environment', 'social challenge', 'sustainability', 'sustainability', 'sustainability']"
Bus: Accounting BBA,['diversity']
Bus: Accounting MAC,['diversity']
Bus: Actuarial Science BBA,[]
Bus: Analytics MSB,[]
Bus: Arts Administration MAB,['ethical']
Bus: Arts Administration MBA,['ethical']
"Bus: Finance, Invest&Bank BBA",[]
"Bus: Finance, Invest&Bank MBA","['equity', 'equity', 'equity', 'ethical']"
"Bus: Finance, Invest&Bank MSB","['equity', 'equity', 'equity', 'ethical']"
Bus: General Management MBA,"['diversity', 'environment', 'inclusive']"
Bus: General Management MSB,"['environment', 'ethical', 'inclusive', 'responsibility']"
Bus: Information Systems BBA,[]
Bus: International Bus BBA,[]
Bus: Management & Hum Res BBA,"['collaborative', 'environment', 'environment', 'environment', 'environment', 'ethical']"
Bus: Management & Hum Res MBA,[]
Bus: Management & Hum Res MSB,[]
Bus: Marketing BBA,[]
Bus: Marketing MBA,['environment']
Bus: Marketing MSB,['environment']
Bus: Oper & Tech Mgmt BBA,[]
Bus: Oper & Tech Mgmt MBA,[]
Bus: Oper & Tech Mgmt MSB,[]
Bus: RealEst & UrbLandEcon BBA,"['ethical', 'responsibility']"
Bus: RealEst & UrbLandEcon MBA,"['ethical', 'responsibility']"
Bus: RealEst & UrbLandEcon MSB,"['ethical', 'responsibility']"
Bus: Risk Mgmt & Insurance BBA,['environment']
Bus: Risk Mgmt & Insurance MBA,['environment']
Bus: Risk Mgmt & Insurance MSB,['environment']
Bus: Supply Chain Mgmt MBA,[]
Bus: Supply Chain Mgmt MSB,[]
Business Mgmt ALS UCrt,[]
Business PHD,"['environment', 'ethical']"
Business UCrt,[]
Cancer Biology MS,['ethical']
Cancer Biology PHD,['ethical']
Cartogr & Geog Info Sys BA,['environment']
Cartogr & Geog Info Sys MS,['ethical']
Cellular & Molecular Bio MS,['ethical']
Cellular & Molecular Bio PHD,['ethical']
Cellular & Molecular Path MS,['ethical']
Cellular & Molecular Path PHD,['ethical']
Chemical Engineering BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Chemical Engineering MS,['ethical']
Chemical Engineering PHD,['ethical']
Chemistry BA,"['collaborative', 'ethical', 'responsibility']"
Chemistry MS,['ethical']
Chemistry PHD,['ethical']
Chicana/o and Lat Studies UCrt,['migration']
Chinese BA,[]
Chinese BSE,[]
Chinese MA,['ethical']
Chinese PHD,['ethical']
Chinese Prof Comm UCrt,[]
Civil & Environmental Engr ME,['ethical']
Civil & Environmental Engr MS,['ethical']
Civil & Environmental Engr PHD,['ethical']
Civil Engineering BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Classical & Ancient N East MA,['ethical']
Classical & Ancient N East PHD,['ethical']
Classical Humanities BA,['ethical']
Classical Stds UCrt,['ethical']
Classics BA,[]
Clinic Nutrition-Diet Int CAP,[]
Clinic&Community Outcomes CAP,[]
Clinic&Community Outcomes GCrt,[]
Clinical Health Informatic CAP,"['collaborative', 'ethical']"
Clinical Health Informatics MS,"['collaborative', 'ethical']"
Clinical Investigation MS,"['ethical', 'responsible']"
Clinical Investigation PHD,"['ethical', 'responsible']"
Clinical Nurse Specialist CAP,[]
Clinical Nutrition CAP,[]
Clinical Nutrition MS,[]
Clinical Rehab Counseling MS,['ethical']
Cnsr Behvr & Mktplce Stds BS,"['collaborative', 'environment', 'well-being']"
Comm Sciences & Disorders BA,[]
Comm Sciences & Disorders BSE,[]
Comm Sciences & Disorders CAP,[]
Comm Sciences & Disorders MS,['ethical']
Comm Sciences & Disorders PHD,[]
Comm-Engaged Scholrshp GCrt,"['collaborative', 'equitable', 'participatory']"
Comm-Engaged Scholrshp MIN,"['collaborative', 'equitable', 'participatory']"
Communication Arts BA,[]
Communication Arts MA,['ethical']
Communication Arts PHD,['ethical']
Community & Env Soc BS,['environment']
Community&Nonprofit Ldrshp BS,"['civil society', 'diversity', 'ethical', 'literacy', 'social justice', 'well-being', 'well-being']"
Community&Nonprofit Ldrshp CAP,[]
Comp Biomedical Sciences MS,['ethical']
Comp Biomedical Sciences PHD,"['ethical', 'ethical']"
Comp Lit and Folklore St BA,[]
Comp Lit and Folklore St MA,['ethical']
Comp Lit and Folklore St PHD,['ethical']
Comp Sci for Professionals CAP,[]
Computer Engineering BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Computer Sciences BA,[]
Computer Sciences MS,[]
Computer Sciences PHD,['ethical']
Computer Sciences UCrt,[]
Conservation Biology BA,"['conservation', 'conservation', 'conservation', 'conservation', 'conservation', 'conservation', 'ecosystem']"
Consumer Health Advocacy CAP,['collaborative']
Consumer Health Advocacy GCrt,['collaborative']
Counseling MS,"['diversity', 'ethical', 'social justice', 'well-being']"
Counseling Psychology PHD,['social justice']
Creative Writing MFA,['ethical']
Criminal Justice UCrt,['substance abuse']
"Culture, History & Enviro GCrt","['environment', 'environment']"
Curriculum & Instruction MS,[]
Curriculum & Instruction PHD,[]
Cytotechnology,['ethical']
Dairy Farm Management FISC,[]
Dairy Science BS,[]
Dairy Science MS,['ethical']
Dairy Science PHD,['ethical']
Dance BFA,[]
Dance BS,[]
Dance Studies UCrt,[]
Dance UCrt,['literacy']
Data Analy Decsn Makng CAP,[]
Data Science BA,['ethical']
Data Science UCrt,['ethical']
Design + Innovation MS,['ethical']
Design Strategy UCrt,"['collaborative', 'collaborative']"
Development Econ UCrt,"['environment', 'migration']"
Development PHD,['ethical']
Digital Cinema Production UCrt,['collaborative']
Digital Studies UCrt,['ethical']
Disability Rights & Srvs UCrt,"['persons with disabilities', 'quality of life']"
Diversified Ag Operations FISC,[]
East Asian Studies UCrt,['diversity']
East Central European LLC UCrt,[]
Economic Analytics UCrt,[]
Economics BA,[]
Economics MS,['ethical']
Economics PHD,['ethical']
Ed Leadership & Pol Anlys MS,['ethical']
Ed Leadership & Pol Anlys PHD,['ethical']
Educ & Educational Svcs UCrt,['environment']
Education Studies BS,['ethical']
Educational Policy Stds MA,"['equality', 'ethical', 'inequality']"
Educational Policy Stds PHD,"['equality', 'ethical', 'inequality']"
Educational Policy Stds UCrt,['ethical']
Educational Psychology MS,"['diversity', 'ethical']"
Educational Psychology PHD,"['collaborative', 'diversity', 'ethical']"
Electrical Engineering BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Electrical Engineering MS,['ethical']
Electrical Engineering PHD,['ethical']
Elementary Education BSE,"['environment', 'inclusive']"
Endocrin-ReprodPhysiol MS,"['ethical', 'ethical', 'ethical', 'ethical']"
Endocrin-ReprodPhysiol PHD,"['ethical', 'ethical', 'ethical', 'ethical']"
Energy Analysis Policy GCrt,"['environment', 'social justice', 'sustainability']"
Eng Thermal Energy Sys UCrt,[]
Engin for Energy Sust UCrt,"['environment', 'environment', 'sustainability', 'sustainability']"
Engine Design CAP,[]
Engineering ME,['ethical']
Engineering Mechanics BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Engineering Mechanics MS,['ethical']
Engineering Mechanics PHD,['ethical']
Engineering Physics BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
English BA,[]
English MA,['ethical']
English PHD,['ethical']
Entomology BS,[]
Entomology MS,['inclusive']
Entomology PHD,['inclusive']
Entrepreneurship GCrt,[]
Entrepreneurship UCrt,[]
Envirnmtl Remediatn & Mgmt MS,"['contamination', 'environment', 'environment', 'environment', 'environment', 'environment']"
Environment & Resources MS,"['environment', 'environment']"
Environment & Resources PHD,"['environment', 'environment', 'environment']"
Environmental Chem & Tech MS,"['environment', 'environment', 'environment', 'ethical']"
Environmental Chem & Tech PhD,"['environment', 'environment', 'environment', 'ethical']"
Environmental Conservation MS,"['conservation', 'conservation', 'conservation', 'conservation', 'conservation', 'conservation', 'conservation', 'environment', 'environment', 'environment', 'environment', 'environment', 'environment', 'environment', 'environment', 'environment', 'environment', 'environment', 'environment', 'environment', 'ethical', 'ethical', 'sustainability', 'sustainability', 'sustainability', 'sustainability', 'well-being', 'well-being']"
Environmental Engineering BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Environmental Sciences BA,"['environment', 'environment', 'environment', 'environment', 'environment', 'environment', 'environment', 'sustainability']"
Environmental Sciences BS-ALS,"['environment', 'environment', 'environment', 'environment', 'environment', 'environment', 'environment', 'sustainability']"
Environmental Studies BA,"['diversity', 'environment', 'environment', 'environment', 'environment', 'ethical']"
Environmental Studies UCrt,"['diversity', 'environment', 'environment', 'environment', 'environment', 'ethical']"
Epidemiology MS,['ethical']
Epidemiology PHD,"['environment', 'ethical']"
European Studies GCrt,['diversity']
European Studies UCrt,['diversity']
Farm and Equipment Ops FISC,"['environment', 'environment', 'sustainability']"
Fdn of Farm&Agribus Mgmt FISC,"['environment', 'environment', 'sustainability']"
Financial Economics MS,['ethical']
Fndtns of Prof Develop CAP,"['environment', 'ethical']"
Folklore UCrt,"['collaborative', 'diversity', 'ethical']"
Food Science BS,[]
Food Science MS,['ethical']
Food Science PHD,['ethical']
Food Systems UCrt,"['environment', 'environment']"
Forest Science BS,"['diversity', 'ecosystem', 'ecosystem', 'environment', 'water quality', 'wildlife']"
Forestry MS,[]
Forestry PHD,[]
French BA,['diversity']
French BSE,[]
French MA,['ethical']
French PHD,['ethical']
French Studies MFS,[]
French Studies Teachers CAP,[]
French UCrt,['diversity']
Freshwater & Marine Sci MS,"['ethical', 'freshwater', 'freshwater', 'freshwater']"
Freshwater & Marine Sci PHD,"['ethical', 'freshwater', 'freshwater']"
Fundmntls of Clinic Rsrch CAP,"['ethical', 'responsible']"
Fundmntls of Clinic Rsrch GCrt,"['ethical', 'responsible']"
GIS Fundamentals CAP,[]
Game Design UCrt,[]
Gender & Women's Studies BA,"['ethical', 'responsibility']"
Gender & Women's Studies GCrt,[]
Gender & Women's Studies MA,"['collaborative', 'ethical']"
Gender & Women's Studies UCrt,"['ethical', 'responsibility']"
Genetic Counslr St MGCS,['ethical']
Genetics & Genomics BS,['ethical']
Genetics MS,['responsible']
Genetics PHD,['responsible']
Geographic Info Systems CAP,[]
Geography BA,['environment']
Geography MS,['ethical']
Geography PHD,['ethical']
Geological Engineering BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Geological Engineering MS,['ethical']
Geological Engineering PHD,['ethical']
Geology & Geophysics BA,[]
Geoscience MS,['ethical']
Geoscience PHD,['ethical']
German BA,"['diversity', 'diversity', 'ethical', 'responsibility']"
German BSE,[]
German MA,['ethical']
German PHD,['ethical']
German UCrt,[]
Global Health BS,"['environment', 'environment', 'ethical', 'sustainability', 'sustainability', 'well-being']"
Global Health CAP,"['disparities', 'environment', 'equity', 'ethical', 'human rights', 'sustainability']"
Global Health GCrt,"['disparities', 'environment', 'equity', 'ethical', 'human rights', 'sustainability']"
Global Health Online CAP,"['disparities', 'environment', 'equity', 'ethical', 'human rights', 'sustainability']"
Global Health Online GCrt,"['disparities', 'environment', 'equity', 'ethical', 'human rights', 'sustainability']"
Global Health UCrt,['well-being']
Global Studies MIN,['diversity']
Graphic Design UCrt,[]
Health Policy UCrt,['reproductive health']
Health Promo Health Equity BS,"['environment', 'equity', 'equity', 'well-being']"
Health Service Rsrch in Phm MS,[]
Health and Humanities UCrt,[]
Hist&Hist of Sci Med&Tech BA,[]
History BA,[]
History MA,['ethical']
History PHD,['ethical']
History UCrt,[]
"History of Sci, Med & Tech BA",[]
"History of Sci, Med & Tech MA",['ethical']
"History of Sci, Med & Tech PHD",['ethical']
HlthServicesRsrch in Phm PHD,[]
Horticulture BS,[]
Horticulture MS,['ethical']
Horticulture PHD,['ethical']
Human Development & Family BS,"['diversity', 'ethical', 'ethical']"
Human Ecology MFA,['ethical']
Human Ecology MS,"['diversity', 'environment', 'ethical', 'ethical']"
Human Ecology PHD,"['diversity', 'environment', 'ethical', 'ethical']"
Industrial Engineering BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Industrial Engineering MS,['ethical']
Industrial Engineering PHD,['ethical']
Infant-Family Mental Hlth CAP,['well-being']
Information MS,"['ethical', 'social challenge']"
Information PHD,[]
"Int St Science, Eng & Soc UCrt",['responsibility']
Integrated Liberal St UCrt,[]
Integrative Biology MS,"['ethical', 'responsibility']"
Integrative Biology PHD,"['ethical', 'responsibility']"
Interdis Theatre Studies MA,"['collaborative', 'ethical']"
Interdis Theatre Studies PHD,['collaborative']
Interior Architecture BS,"['environment', 'environment']"
International Engineering UCrt,[]
International Studies BA,['diversity']
Intl Politics & Pract CAP,"['equality', 'global governance', 'inequality']"
Intl Public Affairs MIPA,"['ethical', 'ethical', 'ethical', 'ethical']"
Italian BA,['diversity']
Italian BSE,[]
Italian MA,['ethical']
Italian PHD,['ethical']
Italian UCrt,['diversity']
Japanese BA,[]
Japanese BSE,[]
Japanese MA,['ethical']
Japanese PHD,['ethical']
Japanese Prof Comm UCrt,[]
Jewish Studies BA,[]
Jewish Studies UCrt,['minorities']
Journalism & Mass Comm MA,[]
Journalism BA,"['ethical', 'responsible']"
Kinesiology BS,"['human health', 'quality of life']"
Kinesiology MS,"['ethical', 'ethical']"
Kinesiology PHD,['ethical']
LGBTQ+ Studies UCrt,[]
Landscape & Urban Studies BA,"['conservation', 'conservation', 'literacy']"
Landscape Architecture BLA,[]
Landscape Architecture BS,"['conservation', 'conservation', 'conservation', 'environment', 'preservation']"
Landscape Architecture BSLA,[]
Landscape Architecture MS,"['environment', 'ethical']"
Lat Am Carib & Iberian St BA,"['diversity', 'poverty', 'social justice']"
Lat Am Carib & Iberian St MA,"['biodiversity', 'diversity', 'ethical', 'slavery']"
Latin BA,[]
Latin BSE,[]
Ldrshp Pop Health Improve CAP,[]
Legal Studies BA,[]
Library & Information St MA,['ethical']
Library & Information St PHD,[]
Life Sciences Comm BS,"['democracy', 'environment']"
Life Sciences Comm MS,['ethical']
Linguistics BA,[]
Linguistics MA,['ethical']
Linguistics PHD,['ethical']
Manufacturing Engineering UCrt,[]
Manufacturing Systems Engr MS,['ethical']
Mass Communications PHD-L&S,['ethical']
Material Culture Studies UCrt,[]
Materials Science and Engr BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Materials Science and Engr MS,['ethical']
Materials Science and Engr PHD,['ethical']
Mathematics BA,[]
Mathematics MA,['ethical']
Mathematics PHD,['ethical']
Mathematics UCrt,[]
Meat Animal Farm Mgmt FISC,[]
Mechanical Engineering BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Mechanical Engineering ME,['ethical']
Mechanical Engineering MS,['ethical']
Mechanical Engineering PHD,['ethical']
Medical Physics MS,['ethical']
Medical Physics PHD,['ethical']
Medieval Studies UCrt,[]
Mgmt of Crops and Soils FISC,"['environment', 'environment', 'sustainability']"
Microbiology BA,[]
Microbiology BS-ALS,[]
Microbiology MS,['ethical']
Microbiology PHD,"['ethical', 'ethical']"
Middle East Studies UCrt,['diversity']
Molecular & Cell Biology BA,[]
Molecular & Cellular Pharm MIN,['ethical']
Molecular & Cellular Pharm MS,['ethical']
Molecular & Cellular Pharm PHD,['ethical']
Molecular & Environ Toxic MS,"['environment', 'toxic']"
Molecular & Environ Toxic PHD,"['environment', 'toxic']"
Music BA,['collaborative']
Music MA,['ethical']
Music PHD,['ethical']
Music: Education BM,"['responsibility', 'wisdom']"
Music: Education MM,"['collaborative', 'ethical']"
Music: Performance BM,['collaborative']
Music: Performance DMA,"['collaborative', 'ethical']"
Music: Performance MM,"['collaborative', 'ethical']"
Naval Science BS,"['ethical', 'ethical', 'responsibility', 'responsibility']"
Neurobiology BA,[]
Neuroscience MS,"['ethical', 'responsible']"
Neuroscience PHD,"['ethical', 'responsible']"
Nuclear Eng Materials UCrt,['degradation']
Nuclear Engineering BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Nuclear Engr & Engr Phys MS,['ethical']
Nuclear Engr & Engr Phys PHD,['ethical']
Nurse Educator CAP,"['environment', 'environment', 'ethical']"
Nurse Educator GCrt,"['environment', 'environment', 'environment', 'ethical']"
Nursing Accelerated BSN,"['disparities', 'equity', 'ethical', 'responsibility']"
Nursing BSN,"['disparities', 'equity', 'ethical', 'responsibility']"
Nursing Collab Prog BSN,"['disparities', 'equity', 'ethical', 'responsibility']"
Nursing MS,"['ethical', 'ethical']"
Nursing PHD,['ethical']
Nursing Practice DNP,"['collaborative', 'environment']"
Nutritional Sciences BS,"['environment', 'literacy']"
Nutritional Sciences BSDN,"['environment', 'literacy']"
Nutritional Sciences MS,['ethical']
Nutritional Sciences PHD,['ethical']
Occupational Therapy MS,"['environment', 'environment', 'ethical']"
Occupational Therapy OTD,[]
Organic Agriculture UCrt,"['environment', 'environment']"
Patient Safety GCrt,[]
Personal Finance BS,"['collaborative', 'environment']"
Pharmaceutical Sciences BS,['disparities']
Pharmaceutical Sciences MS,['ethical']
Pharmaceutical Sciences PHD,['ethical']
Pharmacology & Toxicology BS,['toxic']
Pharmacy DPH,"['disparities', 'ethical']"
Pharmacy MS,[]
Philosophy BA,[]
Philosophy MA,[]
Philosophy PHD,['ethical']
Physical Education BS,"['cultural diversity', 'diversity', 'environment', 'environment', 'environment', 'ethical', 'well-being']"
Physician Asst MPA,['equitable']
Physics BA,[]
Physics MA,[]
Physics MS,[]
Physics PHD,[]
Physics UCrt,[]
Physiology MS,[]
Physiology PHD,[]
Pilates UCrt,[]
Plant Breeding & Plant Gen MS,['ethical']
Plant Breeding & Plant Gen PHD,['ethical']
Plant Pathology BS,[]
Plant Pathology MS,[]
Plant Pathology PHD,[]
Poli Econ Phil & Politics UCrt,[]
Polish BA,[]
Political Science BA,['civil society']
Political Science MA,['ethical']
Political Science PHD,['ethical']
Polymer Procsng & Manufact CAP,[]
Population Health MS,['ethical']
Population Health PHD,['ethical']
Portuguese BA,['diversity']
Portuguese BSE,[]
Portuguese MA,[]
Portuguese PHD,[]
Post-Grad Psych Nursing CAP,[]
Poultry Science BS,[]
Power Conversion & Control CAP,[]
Powertrain Electrification CAP,[]
Prevention&Intervntn Sci GCrt,[]
Promoting Actvty Div Abil UCrt,[]
Psychoactive Phmtcl Invstg CAP,['ethical']
Psychology BA,['diversity']
Psychology MA,[]
Psychology MS,[]
Psychology PHD,[]
Public Affairs MPA,"['ethical', 'ethical', 'ethical', 'ethical']"
Public Humanities GCrt,['collaborative']
Public Policy UCrt,['environment']
Rehab Counselor Education PHD,['ethical']
Rehabilitation Psychology BS,['ethical']
Religious Studies BA,['literacy']
Religious Studies UCrt,['literacy']
"Rus, EEur, Central Asian MIN",['diversity']
"Rus, EEur, Cntrl Asian St GCrt",['diversity']
"Rus, EEur, Cntrl Asian St MA",['ethical']
"Rus, EEur, Cntrl Asian St UCrt",[]
Russian BA,[]
Scandinavian Studies BA,['ethical']
Scandinavian Studies MA,['ethical']
Scandinavian Studies PHD,['ethical']
Scandinavian Studies UCrt,['ethical']
School Psychology EDS,"['collaborative', 'diversity', 'equity', 'ethical', 'ethical']"
Sci of Ferment Food & Bev UCrt,[]
Science Communication GCrt,['ethical']
Second Lang Acquisition PHD,[]
Slavic Languages & Lit MA,['ethical']
Slavic Languages & Lit PHD,['ethical']
Social Welfare BA,['dignity']
Social Welfare PHD,['ethical']
Social Work BSW,"['diversity', 'environment', 'ethical', 'human rights']"
Social Work MSW,"['diversity', 'environment', 'ethical', 'human rights']"
Sociology BA,['diversity']
Sociology MS,"['ethical', 'ethical']"
Sociology PHD-L&S,"['ethical', 'ethical', 'responsibility']"
Soil Science BS,"['environment', 'waste management']"
Soil Science MS,['ethical']
Soil Science PHD,['ethical']
South Asian Studies UCrt,['diversity']
Southeast Asian Studies MA,['ethical']
Southeast Asian Studies UCrt,['diversity']
Spanish BA,['diversity']
Spanish BSE,[]
Spanish MA,[]
Spanish PHD,[]
Spanish Studies-Bus Stdt UCrt,['diversity']
Spclst Ed Lead & Pol Anly GCrt,[]
Special Education BSE,"['environment', 'ethical']"
Special Education MS,"['environment', 'ethical', 'ethical', 'ethical']"
Special Education PHD,['ethical']
Sports Communication Ucrt,"['ethical', 'responsible']"
Statistics BA,[]
Statistics MS,['ethical']
Statistics PHD,['ethical']
Stdy Dance/Mvmnt Therapy UCrt,['literacy']
"StrtgcInnov:Tech,Orgs&Soc GCrt",[]
Summer Business Fndmtls UCrt,[]
Supply Chain Management UCrt,[]
Sustainability UCrt,"['environment', 'sustainability', 'sustainability']"
Tch Engl As 2nd Lng UCrt,[]
Tech Japanese St for Ugrd Ucrt,[]
Technical Communication UCrt,"['environment', 'environment', 'ethical']"
Textile and Design UCrt,[]
Textiles and Fashion Design BS,[]
Theatre & Drama BS,[]
Theatre & Drama MFA,['ethical']
Theatre UCrt,[]
Turfgrass Management FISC,"['ecosystem', 'environment']"
Urban & Regional Planning MS,"['diversity', 'diversity', 'environment', 'environment', 'ethical', 'ethical', 'pollution', 'pollution', 'responsibility', 'responsibility', 'social justice', 'social justice', 'sustainability', 'sustainability']"
Urban & Regional Planning PHD,"['environment', 'ethical', 'social justice']"
User Experience Design CAP,['environment']
Visual Cultures GCRT,[]
Water Resources Management MS,"['ethical', 'responsibility', 'water resources', 'water resources']"
Wildlife Ecology BS,"['wildlife', 'wildlife']"
Wildlife Ecology MS,"['wildlife', 'wildlife', 'wildlife', 'wildlife', 'wildlife']"
Wildlife Ecology PHD,"['wildlife', 'wildlife', 'wildlife']"
Zoology BA,"['diversity', 'responsibility']"
